ML Model Name,Mean Absolute Error (MAE),Mean Squared Error (MSE),Root Mean Squared Error (RMSE),R²-Score
Linear Regression,4557.9294041453795,97948417.2325423,9896.889270500216,0.6870562118912058
DecisionTreeRegressor,3459.9812802399656,71950779.70089513,8482.380544451842,0.7701182909007889
RandomForestRegressor,2945.0509691322295,56204879.64689642,7496.991373004002,0.8204262157178086
GradientBoostingRegressor,3083.0874614798745,60705067.58699208,7791.345685245397,0.8060481797988458
SVR,3025.7411357542424,68949656.4631339,8303.59298515612,0.7797068365980264
MLPRegressor,3876.5579790157058,78664282.67002007,8869.288735294396,0.7486687452113503
XGBRegressor,2933.5863301005083,81486829.04756758,9027.005541571778,0.739650750021031
RandomForestRegressor *,2933.5863301005083,81486829.04756758,9027.005541571778,0.739650750021031
