ML Model Name,Mean Absolute Error (MAE),Mean Squared Error (MSE),Root Mean Squared Error (RMSE),R²-Score
Linear Regression,4557.9294041453795,97948417.2325423,9896.889270500216,0.6870562118912058
DecisionTreeRegressor,3491.6905613651616,106453437.11275077,10317.627494378286,0.6598827953679549
RandomForestRegressor,2946.954240117838,55290413.925328165,7435.752411513456,0.8233479205813368
GradientBoostingRegressor,3083.087461479875,60705067.586992085,7791.345685245398,0.8060481797988458
SVR,8278.829475327728,318271399.63758236,17840.16254515587,-0.016872556631589486
MLPRegressor,3682.406149667363,76661080.7518535,8755.631373684795,0.755068946606433
XGBRegressor,2933.5863301005083,81486829.04756758,9027.005541571778,0.739650750021031
